,mean_ic,ic_ir,ic_t,hit
value,0.010245097315270667,0.06957818618312488,0.7810132028712654,0.49206349206349204
momentum,-0.0007457617190090857,-0.004098815940672363,-0.04600909482433059,0.5158730158730159
quality,0.007796831546861141,0.10083257596954283,1.1318428581116537,0.5079365079365079
low_vol,-0.007073522217458064,-0.03611025095073141,-0.40533656162419474,0.5079365079365079
size,0.0006550587477653243,0.005612635889055071,0.06300168160066631,0.5079365079365079
composite,0.005841518940369254,0.052751203656587406,0.5921307924686604,0.5555555555555556
