,FULL,DEV  (<2025),OOS  (2025+)
value,"(0.02445643715973213, 2.9732869082338853)","(0.015638585158495217, 1.9026097397689627)","(0.0773635491671536, 5.639641491934796)"
momentum,"(0.012157971262610472, 0.9043187110320936)","(-0.00047692704088583875, -0.03804196427974425)","(0.08796736108358835, 2.1257189626070074)"
quality,"(0.006958548699338185, 1.3535190814249012)","(0.01154096950595452, 2.1308850017954635)","(-0.020535976140359787, -2.9187303194371625)"
low_vol,"(-0.0203899299834562, -1.3562033511009872)","(-0.01062406764868546, -0.7006928998372857)","(-0.0789851039920806, -1.8428251316658908)"
size,"(-0.007911272655242553, -1.368183568440625)","(-0.0017638563969332856, -0.30797558810165226)","(-0.04479577020509817, -4.306408465331192)"
