date,capital,period_return,long_return,benchmark_return,borrow_cost,turnover,n_names,avg_buyers,total_value
2016-01-04,962374.7752591391,-0.03666188662748832,-0.09044836234070916,-0.054024570951316075,0.0002380952380952381,1.0,42,3.3095238095238093,332767110.0281
2016-02-02,1017217.0836531277,0.05731537841219903,0.1040404493852116,0.046486975734917335,0.0002380952380952381,0.311111111111111,45,3.2666666666666666,268727515.2979
2016-03-02,1031398.8948859522,0.014603472451208875,0.05293231136879539,0.03809074367949128,0.0002380952380952381,0.6521739130434785,46,3.4347826086956523,316454504.6119
2016-03-31,1086378.3844757692,0.053718072474338456,0.0633471667306181,0.00939099901818441,0.0002380952380952381,0.3913043478260869,41,3.5853658536585367,310420355.34739995
2016-04-28,1076862.2913175565,-0.008614383922828536,0.0007340157882930005,0.009110304473026298,0.0002380952380952381,0.14634146341463408,39,3.8461538461538463,385333288.7242
2016-05-26,1051581.2407454033,-0.023134683491987593,-0.04698670460478999,-0.02409011635089764,0.0002380952380952381,0.35,40,3.775,340455001.751
2016-06-24,1069731.211254481,0.01771201052298308,0.0839311042448568,0.06598099848377847,0.0002380952380952381,0.44444444444444453,45,3.577777777777778,566864597.9862001
2016-07-25,1078564.737980386,0.008392159114577174,0.017308067757788165,0.008677813405115753,0.0002380952380952381,0.13333333333333336,44,3.5681818181818183,560473284.22
2016-08-22,1067935.4245579205,-0.009044271750482901,-0.027256650044535344,-0.018450473532147682,0.0002380952380952381,0.8181818181818182,30,3.433333333333333,486059529.65999997
2016-09-20,1083877.4525112214,0.015334028675818564,0.016930965337711077,0.0013588414237972746,0.0002380952380952381,0.3999999999999999,28,3.357142857142857,495476874.98
2016-10-18,1166215.5572576402,0.07611998070579672,0.09774245294579172,0.021384377001899768,0.0002380952380952381,0.14285714285714285,28,3.357142857142857,493380739.6249
2016-11-15,1154741.0068241144,-0.00922416908473575,0.025831394756718147,0.03481746860335866,0.0002380952380952381,0.6206896551724138,29,2.896551724137931,356967271.1849
2016-12-14,1144375.9197799729,-0.008232288325717728,0.003110116320365855,0.011104309407988344,0.0002380952380952381,0.7499999999999999,32,2.40625,111970529.8349
2017-01-13,1143631.9889869613,-0.00042160047637569296,0.025009108884531586,0.02519261412281204,0.0002380952380952381,0.22857142857142856,35,2.4,138579654.9913
2017-02-13,1137818.7644333225,-0.00468499917421836,0.013296027158707816,0.017742931094830938,0.0002380952380952381,0.39999999999999997,34,2.411764705882353,103898886.1213
2017-03-14,1137677.285125429,0.0003758453539693072,-0.002836345161184915,-0.00345028575324946,0.0002380952380952381,0.5,36,2.4166666666666665,104740389.5156
2017-04-11,1127390.893627267,-0.008889093761125224,0.011811868036016958,0.020462866559046944,0.0002380952380952381,0.15384615384615377,39,2.41025641025641,155438081.3649
2017-05-10,1129975.276474821,0.002693434764907105,0.019231870963428217,0.016300340960425874,0.0002380952380952381,0.39999999999999997,45,2.422222222222222,187064888.09399998
2017-06-08,1133601.8473136472,0.003923325976163269,0.0021543028230021724,-0.002007118391256335,0.0002380952380952381,0.7111111111111111,35,2.7714285714285714,137616496.7876
2017-07-07,1134230.9069632678,0.0008885506747138219,0.023017539559697292,0.021890893646888232,0.0002380952380952381,0.3333333333333333,36,2.888888888888889,141387475.6842
2017-08-04,1104219.1545738135,-0.026174980327571727,-0.024198914440406824,0.0017379706490696645,0.0002380952380952381,0.2926829268292682,41,3.0,233366773.48890004
2017-09-01,1120563.1477361114,0.015296670080506981,0.03866340524502966,0.02312863992642744,0.0002380952380952381,0.4878048780487805,36,3.2777777777777777,238325980.2246
2017-10-02,1068966.0858192935,-0.04583361607181811,-0.028038462500428626,0.01755705833329424,0.0002380952380952381,0.22222222222222227,35,3.342857142857143,327834033.79469997
2017-10-30,1067238.9178548704,-0.0012733163365108674,0.022801268575807287,0.023836489674222916,0.0002380952380952381,0.34285714285714297,31,3.3870967741935485,240075871.70749995
2017-11-28,1100605.367977035,0.03178016424224109,0.0541448795609002,0.022126620080563875,0.0002380952380952381,0.4999999999999999,32,3.15625,249285935.2926
2017-12-27,1062243.1359886723,-0.03455387221230723,0.0377323775263196,0.07204815450053159,0.0002380952380952381,0.3124999999999999,28,2.9642857142857144,226394942.4026
2018-01-26,1034000.6517023392,-0.02630939203043413,-0.0563591340247498,-0.030287837232410908,0.0002380952380952381,0.2857142857142857,28,2.6785714285714284,229644846.63000003
2018-02-26,1029217.1889865536,-0.004128234040521115,-0.046093362461289186,-0.04220322365886331,0.0002380952380952381,0.5,28,2.5714285714285716,225628108.7
2018-03-26,1048336.7607552904,0.018984403372898022,0.011188417448738467,-0.008034081162254791,0.0002380952380952381,0.3999999999999999,30,2.3333333333333335,285634225.98
2018-04-24,1049409.9177138337,0.0012664070371300466,0.03812300209492473,0.036618499819699446,0.0002380952380952381,0.24242424242424238,33,2.3333333333333335,290035004.56
2018-05-22,1046235.275621079,-0.0022269503138214147,0.014882061871642021,0.016870916947368197,0.0002380952380952381,0.8,45,2.2666666666666666,339261793.26220006
2018-06-20,1055787.4974849822,0.00953390321366556,0.024375053420328197,0.014603054968567397,0.0002380952380952381,0.3999999999999999,42,2.3333333333333335,271221033.2922
2018-07-19,1043087.2278952796,-0.011746833072637266,0.0029913286229192415,0.01450006645746127,0.0002380952380952381,0.2857142857142859,37,2.3783783783783785,254230760.33219996
2018-08-16,1028845.0458324867,-0.013277980359466885,0.010969178588381995,0.024009063709753642,0.0002380952380952381,0.38095238095238104,42,2.5952380952380953,443772127.65220004
2018-09-14,1015101.7659693996,-0.012887915271604704,-0.05968222475586761,-0.047032404722358145,0.0002380952380952381,0.47619047619047616,38,2.6578947368421053,259715001.90119997
2018-10-12,1026182.3968612383,0.011128652477256928,0.017925724899887297,0.006558977184535131,0.0002380952380952381,0.21052631578947367,36,2.638888888888889,262557594.52119994
2018-11-09,1005823.3280989709,-0.01906519774662132,-0.0678984949464058,-0.049071392437879724,0.0002380952380952381,0.7894736842105262,38,3.0,328106044.84999996
2018-12-11,1036347.2432995855,0.030835484028207155,0.016920766491297486,-0.014152812775004908,0.0002380952380952381,0.4736842105263157,36,2.9166666666666665,385094975.24999994
2019-01-10,1058252.2487707967,0.02168164000090817,0.06668967419673393,0.044769938957730515,0.0002380952380952381,0.5333333333333332,45,2.8666666666666667,412055445.5786
2019-02-08,1046657.366923754,-0.01073679705002786,0.018968366697838034,0.029467068509770655,0.0002380952380952381,0.22222222222222224,45,2.6222222222222222,331043414.99859995
