date,capital,period_return,borrow_cost,benchmark_return,turnover,n_long,n_short,n_eligible,avg_sue_long,avg_sue_short
2016-01-04,974824.0843049209,-0.023222360415910998,0.0007936507936507934,-0.05553895833618503,1.9999999999999998,19,19,98,1.9404657989402245,-1.6485654797643061
2016-02-02,1018978.6911982271,0.04761071976802319,0.0007936507936507937,0.045439365802830145,2.210526315789474,11,11,59,1.96603563351483,-1.7014484044393037
2016-03-02,1016973.2274842783,0.001677996373879155,0.0007936507936507937,0.037382748990620975,3.64,50,50,251,1.8137696536758927,-1.1776405943965385
2016-03-31,1002453.450601963,-0.013756408250794137,0.0007936507936507935,0.009347004571772278,0.5283018867924529,53,53,267,1.7894775048704075,-1.22117810588527
2016-04-28,984679.6195688801,-0.017322426644565424,0.0007936507936507937,0.009069400724868839,0.41509433962264153,51,51,258,1.8173893998990793,-1.1685738900182707
2016-05-26,956233.7313734597,-0.025717275805046333,0.0007936507936507939,-0.024385112835223523,3.2549019607843137,20,20,101,1.3263895599624664,-1.3076333398935915
2016-06-24,1009198.3911218136,0.056868437614920095,0.0007936507936507937,0.06389557755184525,1.4,18,18,91,1.1661865809753236,-1.1473336632321276
2016-07-25,1018477.568305899,0.010429571117784076,0.0007936507936507935,0.008640049136682676,1.2222222222222223,15,15,78,0.8940622266272132,-1.21500113251546
2016-08-22,1046524.3689340847,0.030249147949057364,0.0007936507936507934,-0.0186227263369458,2.6315789473684212,19,19,97,1.251327360435491,-1.3981381343516148
2016-09-20,1072233.7709061166,0.02489011230276457,0.0007936507936507934,0.001357752777219677,0.3157894736842105,19,19,99,1.4088922178335737,-1.3832480953086976
2016-10-18,1118900.5351302063,0.04429241689477827,0.0007936507936507934,0.021158944668531632,0.7368421052631579,19,19,96,1.2805514876855455,-1.4028923584784554
2016-11-15,1134054.4184614606,0.015896149812516594,0.0007936507936507934,0.0342252966572345,2.3157894736842106,19,19,95,1.813124963804185,-1.6366957190979354
