date,capital,period_return
2016-01-08,999287.0100912824,-0.0007129899087176324
2016-01-11,999922.0859670191,0.0006355290015014682
2016-01-12,995653.6412616923,-0.004268777302982271
2016-01-13,997910.1635542405,0.002266372761604772
2016-01-14,997959.0534525109,4.899228413124575e-05
2016-01-15,997318.0287571958,-0.0006423356680792288
2016-01-19,995097.5941121526,-0.0022264058013773506
2016-01-20,994017.6180935372,-0.0010852965829738978
2016-01-21,992525.7888391358,-0.0015008076589856378
2016-01-22,990441.4181301225,-0.00210006705362408
2016-01-25,992880.7137000683,0.002462836797103223
2016-01-26,993104.4559047907,0.00022534651105140618
2016-01-27,994314.8168518326,0.001218764994805244
2016-01-28,995106.945145934,0.0007966574375402044
2016-01-29,995317.5653018847,0.00021165579938725473
2016-02-01,995591.2636241469,0.00027498592590323445
2016-02-02,996799.468529662,0.0012135551502501622
2016-02-03,994658.2688296495,-0.002148074680628463
2016-02-04,994943.7912667671,0.00028705581209669657
2016-02-05,995015.3656047671,7.193807190736465e-05
2016-02-08,995440.1113916697,0.0004268735957101724
2016-02-09,995517.9191154041,7.816414352192891e-05
2016-02-10,996173.7358925614,0.0006587694350495779
2016-02-11,996859.9443525054,0.0006888441596275901
2016-02-12,996669.7886673082,-0.0001907546654617912
2016-02-16,999143.2288692597,0.0024817048034122156
2016-02-17,998462.404940812,-0.0006814077389265905
2016-02-18,997939.7407712484,-0.0005234690529933024
2016-02-19,997311.3178898868,-0.0006297202683559456
2016-02-22,997014.2813040481,-0.0002978373758628407
2016-02-23,995938.5924780323,-0.0010789101482165534
2016-02-24,994767.8009005003,-0.0011755660302498283
2016-02-25,996194.3606717744,0.0014340630748027037
2016-02-26,997253.4761096302,0.0010631614468704501
2016-02-29,996419.2464630659,-0.0008365271884723826
2016-03-01,995546.5201828636,-0.0008758625280475479
2016-03-02,995728.1920377131,0.00018248454609244468
2016-03-03,994795.6021311289,-0.0009365908428037861
2016-03-04,993333.0984981952,-0.0014701549039829328
2016-03-07,992175.2235830245,-0.0011656461633275754
2016-03-08,992194.2640495626,1.9190628918894442e-05
2016-03-09,993110.5960434005,0.0009235409103232458
2016-03-10,993568.3222901296,0.0004609015839249045
2016-03-11,993594.8309846044,2.668029352414351e-05
2016-03-14,993295.7783221703,-0.0003009804933644435
2016-03-15,992507.1579925208,-0.000793943100192733
2016-03-16,991542.8674261217,-0.0009715703898293259
2016-03-17,991362.8478704842,-0.00018155499025966033
2016-03-18,991449.8440884418,8.775416402234001e-05
2016-03-21,991842.1251364141,0.0003956640371786453
2016-03-22,991802.7072913488,-3.974205578327081e-05
2016-03-23,991413.0634961993,-0.0003928642181403546
2016-03-24,991496.8653689264,8.452770677810017e-05
2016-03-28,990835.2697957548,-0.0006672694551843914
2016-03-29,989899.8988049099,-0.0009440227042358657
2016-03-30,990898.3762316534,0.0010086650457776258
2016-03-31,990990.4414099908,9.291081764369846e-05
2016-04-01,992752.5159352308,0.0017780943706509217
2016-04-04,992623.5166129243,-0.00012994106812717676
2016-04-05,991495.4279455533,-0.001136471832966557
2016-04-06,991023.4817016625,-0.0004759943723278628
2016-04-07,990948.298085146,-7.586461663595049e-05
2016-04-08,990948.2368507466,-6.17937378660869e-08
2016-04-11,991618.1471215403,0.0006760295299809952
2016-04-12,991843.1952706297,0.0002269504140708545
2016-04-13,991758.5415472646,-8.534990588112855e-05
2016-04-14,991336.0958751572,-0.0004259561722033201
2016-04-15,991769.9213342651,0.00043761693023485024
2016-04-18,991695.7272428261,-7.480978182833426e-05
2016-04-19,991317.0991021887,-0.0003817987011904289
2016-04-20,990998.654558219,-0.00032123378509060313
2016-04-21,991199.5208686844,0.00020269080037740826
2016-04-22,991156.7803121352,-4.312003350404785e-05
2016-04-25,990752.37403994,-0.0004080144334662675
2016-04-26,991315.2303425369,0.0005681099711139475
2016-04-27,991222.4998548873,-9.354288606828059e-05
2016-04-28,990935.2342781337,-0.00028980937861629893
2016-04-29,990255.5300772404,-0.0006859219224235087
2016-05-02,990745.9859581406,0.0004952821428443205
2016-05-03,990303.0399624439,-0.0004470833109340315
2016-05-04,990424.8469368082,0.0001229996975158553
2016-05-05,990685.1318116179,0.0002628012368779603
2016-05-06,990086.8339253395,-0.0006039233527047347
2016-05-09,990431.3259838916,0.0003479412580272513
2016-05-10,989953.6442792307,-0.00048229664402669943
2016-05-11,989252.2731930066,-0.0007084888169027507
2016-05-12,989465.8546867633,0.0002159019489206473
2016-05-13,989830.3122114277,0.00036833764696185946
2016-05-16,989574.7798444107,-0.00025815775074218816
2016-05-17,989596.4124880952,2.1860544675566044e-05
2016-05-18,988566.9804043117,-0.0010402544621148577
2016-05-19,988517.5520552915,-5e-05
2016-05-20,988517.5520552915,0.0
2016-05-23,988517.5520552915,0.0
2016-05-24,988517.5520552915,0.0
2016-05-25,988517.5520552915,0.0
2016-05-26,988517.5520552915,0.0
2016-05-27,988517.5520552915,0.0
2016-05-31,988517.5520552915,0.0
2016-06-01,988408.320678196,-0.00011050018977235847
2016-06-02,988508.9843044897,0.00010184417126776948
2016-06-03,988480.8569462455,-2.8454327366378775e-05
2016-06-06,988466.0449588421,-1.4984597121380601e-05
2016-06-07,988478.0902512211,1.218584334847987e-05
2016-06-08,988356.3162170565,-0.00012319345807016842
2016-06-09,988092.4467967785,-0.0002669780280131767
2016-06-10,988206.6997359452,0.000115629807248423
2016-06-13,988266.779750191,6.079701165950719e-05
2016-06-14,987998.2366127095,-0.00027173142210589347
2016-06-15,988335.5544492,0.0003414154236217557
2016-06-16,988137.8259182983,-0.0002000621448976072
2016-06-17,988317.5720465546,0.00018190390403199002
2016-06-20,988637.0701591641,0.00032327474654521396
2016-06-21,988978.2414851523,0.0003450925888638389
2016-06-22,988966.5263941934,-1.1845650862097463e-05
2016-06-23,989552.2516952755,0.0005922599860055236
2016-06-24,990175.9862431244,0.0006303199722705863
2016-06-27,989534.6868792551,-0.0006476620043094029
2016-06-28,989331.3994597675,-0.0002054373860592553
2016-06-29,989479.1744495253,0.0001493685430770752
2016-06-30,989746.8613842991,0.0002705331670299327
2016-07-01,989746.8613842991,0.0
2016-07-05,989770.9725566463,2.4360948529302548e-05
2016-07-06,989605.7606951775,-0.0001669192833995785
2016-07-07,989600.2077746144,-5.611245188257745e-06
2016-07-08,990059.3492331217,0.00046396661490186945
2016-07-11,989517.2434014978,-0.0005475488232536439
2016-07-12,989493.311765931,-2.4185162741314558e-05
2016-07-13,988592.1994426597,-0.0009106805599958673
2016-07-14,989491.1499778337,0.0009093239211080642
2016-07-15,989317.7885536253,-0.00017520260207720348
2016-07-18,989935.9698953698,0.0006248561876646466
2016-07-19,990152.2471436786,0.0002184759973228435
2016-07-20,990604.3972977706,0.00045664710189406347
2016-07-21,989615.4248741617,-0.000998352547501872
2016-07-22,989277.8365618056,-0.000341130810889629
2016-07-25,987763.5933487673,-0.0015306551476994066
2016-07-26,988113.7145832911,0.000354458533278031
2016-07-27,986886.7977270078,-0.0012416757688670551
2016-07-28,987775.2785930963,0.0009002865051339414
2016-07-29,987199.79429311,-0.0005826065021651523
2016-08-01,987168.7192431077,-3.147797455186852e-05
2016-08-02,987925.9330779449,0.0007670561476236096
2016-08-03,987995.5726286288,7.049065962569408e-05
2016-08-04,988399.8862272595,0.0004092261239137211
2016-08-05,988727.3610906426,0.0003313181921064767
2016-08-08,989046.1489528446,0.00032242241364722617
2016-08-09,989714.5474625296,0.0006758011346515679
2016-08-10,989945.1183326531,0.00023296704157248612
2016-08-11,990394.62526745,0.00045407258086583614
2016-08-12,990183.4910636441,-0.0002131818958014457
2016-08-15,990027.9739353479,-0.00015705889837542295
2016-08-16,990201.9951449342,0.00017577403282291243
2016-08-17,991190.3050211131,0.0009980891586006992
2016-08-18,990623.7278183177,-0.0005716129384289945
2016-08-19,990406.9851282615,-0.00021879416368679076
2016-08-22,990355.4611155299,-5.202307082373898e-05
2016-08-23,990616.5019153408,0.00026358293568348376
2016-08-24,990609.5712588726,-6.996306294885851e-06
2016-08-25,991048.4795505612,0.0004430688986083573
2016-08-26,990725.9902613913,-0.00032540213301794526
2016-08-29,991833.2478061377,0.0011176223856347552
2016-08-30,992068.9823132087,0.00023767554434431633
2016-08-31,991748.4200366633,-0.00032312498652869857
2016-09-01,991245.2197967789,-0.0005073869841566524
2016-09-02,991068.6365583823,-0.0001781428398038146
2016-09-06,991249.4262107662,0.0001824189018953913
2016-09-07,991101.2653031626,-0.0001494688457676318
2016-09-08,991292.0590569879,0.00019250682095218338
2016-09-09,991557.0922463898,0.0002673613563031411
2016-09-12,989814.397266254,-0.0017575336748263802
2016-09-13,989851.1042693759,3.7084733484689855e-05
2016-09-14,988993.1402137267,-0.000866760719818212
2016-09-15,989055.3443735549,6.289645225930489e-05
2016-09-16,989568.9028728725,0.0005192414178227166
2016-09-19,989701.2065684875,0.00013369831573210403
2016-09-20,992306.2729344093,0.0026321745882822906
2016-09-21,993085.4915150235,0.0007852601579449548
2016-09-22,993968.5334680277,0.000889190266647789
2016-09-23,994119.8326021282,0.000152217227211855
2016-09-26,994318.987689574,0.00020033307948858704
2016-09-27,994597.1388608196,0.0002797403797870038
2016-09-28,993845.7188898943,-0.0007555018424705154
2016-09-29,993711.9736526686,-0.00013457344000558638
2016-09-30,992716.4097522274,-0.0010018636454401757
2016-10-03,990798.1811196692,-0.001932302733906709
2016-10-04,991181.1631599597,0.00038653890124995744
2016-10-05,988882.9548880862,-0.0023186561219006876
2016-10-06,988467.3410485267,-0.00042028617998224153
2016-10-07,988683.7594200919,0.0002189433707901184
2016-10-10,988978.5166049718,0.0002981309059358886
2016-10-11,988989.6601014085,1.1267683018003879e-05
2016-10-12,988817.5990714125,-0.00017397657117923163
2016-10-13,989523.7267947575,0.0007141132237211857
2016-10-14,989459.6497313865,-6.475545925376681e-05
2016-10-17,989587.907072062,0.00012962361902308495
2016-10-18,989024.3221624256,-0.0005695147501386987
2016-10-19,989801.7437500358,0.0007860490082896741
2016-10-20,990114.7892405264,0.00031627090219581036
2016-10-21,991055.9289539268,0.000950535961716405
2016-10-24,991384.4138282737,0.0003314493811600649
2016-10-25,990334.2698579009,-0.001059270204095257
2016-10-26,989991.5752760358,-0.00034603930440000577
2016-10-27,986723.1413268319,-0.00330147652851749
2016-10-28,987338.4019699221,0.0006235392860685666
2016-10-31,986222.4976502623,-0.0011302146431591946
2016-11-01,989203.907642382,0.003023060211283927
2016-11-02,989674.8116141184,0.00047604338003354814
2016-11-03,990523.9924947796,0.000858040308488982
2016-11-04,991822.0163382123,0.0013104415978490113
2016-11-07,992630.7717086785,0.0008154238937465804
2016-11-08,991975.2815304928,-0.0006603564959579806
2016-11-09,992193.9367840973,0.0002204240949098709
2016-11-10,992168.7745582906,-2.5360189045551316e-05
2016-11-11,989545.5593102516,-0.0026439203846209494
2016-11-14,990478.4319171521,0.0009427283040416585
2016-11-15,990567.3700286956,8.979308249170604e-05
2016-11-16,990750.1613879018,0.00018453198110186315
2016-11-17,989696.3669792512,-0.0010636328407702708
2016-11-18,988912.8396908329,-0.000791684515130342
2016-11-21,987766.5610924613,-0.001159130059156532
2016-11-22,986031.5540742794,-0.0017564949923623758
2016-11-23,985691.275109426,-0.00034509946811262497
2016-11-25,986664.4916910038,0.0009873442183708466
2016-11-28,987034.1465314212,0.0003746510019669967
2016-11-29,985441.9476439571,-0.0016131142909890906
