date,capital,period_return,borrow_cost,turnover,ic,n_long,n_short,ret_value,ret_momentum,ret_quality,ret_low_vol,ret_size
2016-01-04,1081467.732473329,0.08472189816783232,0.0024999999999999996,2.0,0.2388593932445319,94,94,0.007566264488470055,0.06416779025754532,0.036740686507033146,0.11314797205964616,0.028402548615432795
2016-02-03,1025775.9500059717,-0.05089066646699711,0.0024999999999999996,0.42553191489361697,-0.13097709349510478,94,94,0.015447164992903646,-0.08157637208603487,-0.03614325873599012,-0.06689944718839341,0.009355948370164156
2016-03-04,1024626.014862527,5.988248539442239e-05,0.0024999999999999996,0.7872340425531914,0.09407439702846161,94,94,-0.013214152966882164,0.03370553822473343,-0.039046473159263156,-0.02049959578442599,0.02600467493290355
2016-04-05,1017641.5087584766,-0.006000513545749793,0.0025000000000000014,0.5473684210526315,0.11781288994487966,95,95,0.04780294976055034,-0.012623226726597462,0.01673386087396344,-0.03783929928850492,0.03816684166409502
2016-05-04,1024877.5445803462,0.007874456958130223,0.0025000000000000014,0.5052631578947369,0.09956002096472975,95,95,-0.001551190710450171,0.0020244142180656666,-0.002843751977281034,-0.004755764113893502,0.0018361292504296724
2016-06-03,1058125.4077897873,0.03345251099466263,0.0025000000000000014,0.6526315789473685,0.17349211730164552,95,95,-0.007897497791860974,0.0529653548282646,-0.01870422779212516,0.014068823397245493,0.027986571176265348
2016-07-05,1014927.1312121893,-0.04021911254845547,0.0025000000000000014,0.42105263157894735,-0.12035348141970287,95,95,0.024742499292634418,-0.03816376685586396,-0.024829661600201544,-0.05551816053395146,0.008902631374839088
2016-08-03,990351.9722432983,-0.023381021446998877,0.0025000000000000014,0.5684210526315789,0.0182775653799683,95,95,0.03377865032944835,-0.05672308867657227,-0.008552648119965964,-0.03647698383325369,0.0834005367770409
2016-09-01,970353.8688820023,-0.019365514917951233,0.0025,0.5625,0.04919097404838744,96,96,-0.0007708242750468271,0.005701877139508647,-0.038925315438763916,-0.05696272814665174,0.07287014802306302
2016-10-03,1012272.776823198,0.04388465852754828,0.0025,0.4375,0.11833701694787753,96,96,0.04299888787965289,0.010119850283467105,0.03695032550399558,0.05545455135179807,-0.0006066755697757128
2016-11-01,1061335.3019104246,0.049343948207790735,0.0025000000000000005,0.556701030927835,0.12169997380868981,97,97,0.07229246784910069,-0.02836177784509166,0.015652621183254268,-0.035115392399401035,0.092881068138153
2016-12-01,1060099.738130351,4.2076625445332076e-05,0.0025000000000000005,0.8041237113402062,0.036768150826244066,97,97,0.01277361010080905,-0.05474701816329139,0.02017779654586204,-0.020023200662867773,0.04011305120395848
2017-01-03,1028368.4137718275,-0.02895143802204245,0.0024999999999999996,0.6734693877551021,-0.12709303330743416,98,98,0.01667463403124375,-0.0018201490982430978,-0.048336079000081245,-0.030897189087081296,0.009438467009762301
