date,capital,period_return,borrow_cost,benchmark_return,turnover,ic,n_long,n_short,ret_value,ret_momentum,ret_quality,ret_low_vol,ret_size
2016-01-04,1023910.3268200863,0.02596225132273173,0.0008333333333333333,-0.04956199956917513,1.9999999999999998,0.023452803427436494,73,73,-0.005330385759019713,0.01472990140788639,0.0429776211023524,0.07349598204833822,-0.0037168402995398087
2016-02-03,1031651.3040686978,0.007859844160747668,0.0008333333333333333,0.046622370958892004,0.2972972972972971,0.066583046122152,74,74,0.04443724418670904,-0.0893848322956188,-0.014961354967090258,-0.07036638170063844,0.06785505507238229
2016-03-04,1038723.3454725476,0.007317891248059089,0.0008333333333333333,0.02373042341027934,0.45945945945945954,-0.0033605777359639625,74,74,-0.018760368687507682,0.028121284503956373,0.022589963170855272,0.037525979464588265,-0.008287961649350152
2016-04-05,1062001.5646562607,0.02260387861688317,0.0008333333333333333,0.004007603771783742,0.1891891891891892,0.12259728529701878,74,74,0.031043971697516395,-0.04077242637087577,0.018142939465331902,-0.02056909653539656,0.03659286002930451
2016-05-04,1053567.2678259022,-0.007544905348235953,0.0008333333333333333,0.025381844045538747,0.4,-0.10041900227196976,75,75,-0.010111089081679844,-0.015541407827199148,-0.010618906499566493,-0.026398838512727594,0.02625807954722177
2016-06-03,1057958.3919926798,0.004432187386261334,0.0008333333333333333,-0.0037461220345684537,0.26315789473684237,0.009087014885613424,76,76,-0.003962522885555268,0.07668155309535479,0.014552197995248753,0.06435353316643665,-0.02365258975677613
2016-07-05,1058567.5289234598,0.0007864583200584338,0.0008333333333333333,0.036603910259633596,0.21052631578947367,0.07755119368041123,76,76,0.02349678176773684,-0.05661703148486971,-0.006009548012371413,-0.06774551330147888,0.015590697370738921
2016-08-03,1056257.5932160942,-0.0018450942194142667,0.0008333333333333335,0.005581863416368381,0.33766233766233744,0.04500928053229996,77,77,0.00965416596644287,-0.04287541437258909,0.006983220325396448,-0.02508994885453322,0.014725338195894607
2016-09-01,1056191.31352634,0.00011909028355938894,0.0008333333333333335,-0.0023950039699854324,0.18181818181818182,-0.00872796382855574,77,77,0.015414574973483315,-0.010967752288339475,-0.004675266617691083,-0.023924789830385505,0.007219417051882725
2016-10-03,1043664.8352352596,-0.011706026849162767,0.0008333333333333335,-0.022353918534419575,0.15584415584415584,-0.057125071676456855,77,77,-0.0006487237250739925,-0.034175276802785225,-0.025560814131225653,-0.0056680601479800335,-0.01060764645450004
2016-11-01,1084826.630716661,0.0396557011932738,0.0008333333333333335,0.039765622854363136,0.2077922077922078,0.19986171049954118,77,77,0.08793307042843326,-0.052637225694271816,0.009898287734657327,-0.0289858273494275,0.028216585826619227
2016-12-01,1078509.2317144459,-0.005539286435785485,0.0008333333333333335,0.03137212779830142,0.2857142857142857,-0.027411023723015227,77,77,0.01146883902586589,-0.016428035906215874,-0.013575835243599507,-0.001406331624090859,0.005218758973843271
2017-01-03,1060632.478070729,-0.016319928097630367,0.0008333333333333335,0.011169633691827526,0.2597402597402597,-0.05922046289115436,77,77,-0.00786703987963231,0.008597685071589659,-0.014629457597974719,0.004880458611363239,0.012900781260466336
2017-02-02,1064404.0445416288,0.00371037679641946,0.000833333333333333,0.04271538920182697,0.15384615384615402,0.0791814358534864,78,78,-0.006302169437773625,0.009690667890860847,0.016400992692612942,0.02936074787228251,-0.03261542958304051
2017-03-06,1055787.4041187032,-0.0072552573722864475,0.000833333333333333,-0.00508434082324484,0.8461538461538461,-0.09284259860783363,78,78,-0.011420858224639244,0.010587770183801762,-0.012093436921791035,0.009942059817123344,0.008262696377867643
2017-04-04,1037726.0521078361,-0.016932782609424903,0.000833333333333333,0.013832431303224818,0.17721518987341767,-0.11729521416791126,79,79,-0.02081335611586584,-0.013628221142533127,-0.012880841668964124,0.02407570191257617,-0.007720772762125202
2017-05-04,1028743.4182489278,-0.00817899588936908,0.000833333333333333,0.021668675194156124,0.4810126582278481,-0.15883976759525253,79,79,-0.02461968899254237,0.04129160093305481,-0.009894036627573762,0.018896808663242236,-0.010274094533318522
2017-06-05,1032735.324730928,0.004312607151066047,0.000833333333333333,-0.00014800280626504772,0.430379746835443,0.11401860564442709,79,79,0.024355529797717317,-0.014588332403963799,0.004513566586341938,-0.034352923230140636,0.001861608759686887
2017-07-05,1029964.4470419539,-0.002556788631119995,0.000833333333333333,0.017111864569741803,0.12658227848101267,-0.02099489044070996,79,79,0.009147352201211288,0.015481455396998405,-0.0037313151596231825,0.0032142671865243574,-0.004287819140513521
2017-08-03,1026366.6188524129,-0.003089345741480634,0.000833333333333333,0.0035569889673235534,0.40506329113924056,-0.07915607987424532,79,79,-0.022871429259485453,0.004581001903998176,-2.030558732205078e-05,0.00480322925385076,-0.011446139256223328
2017-09-01,1043484.1502215139,0.016957457623737,0.0008333333333333332,0.02500286099522892,0.2749999999999999,0.17744597774070325,80,80,0.0306904856647812,-0.012521647551997177,0.02090611339505857,-0.012785640886477767,0.014873409446709021
2017-10-03,1041875.562808457,-0.0014167313284549868,0.0008333333333333332,0.018144979074255642,0.125,-0.026937603789631195,80,80,-0.00268138702311288,0.04874203188688182,0.0038174132865940354,0.0361414012722026,-0.02056251473486557
2017-11-01,1069212.6752068528,0.026443654783718844,0.0008333333333333332,0.02670927866889832,0.2,0.16985454355868349,80,80,0.005876362290658021,-0.02748480087209689,0.04193435892621449,-0.008183345243605117,0.018276189169757002
2017-12-01,1069189.5482181583,0.00027845361228002183,0.0008333333333333332,0.02756971240181523,0.30000000000000004,0.07661747402966039,80,80,0.003631579737453216,-0.026461289783769975,-0.005125030749472679,-0.03670351858489246,0.008776938450272415
2018-01-03,1076584.554176277,0.007017160982317914,0.0008333333333333332,0.018244804593074423,0.1,0.0649459900292464,80,80,-0.013607272867306598,0.021504489029269314,0.014335010502195279,0.011131823704664699,-0.012126846355818836
