,ew,ew,ols,ols,ridge,ridge,xgb,xgb
,ic,ls,ic,ls,ic,ls,ic,ls
date,,,,,,,,
2019-02-05,0.03151789304912484,0.009600664771218367,-0.09623796752954511,-0.019054287299522774,-0.09647908200215391,-0.01954685215839827,-0.028311551859176453,0.0015906371278833088
2019-03-07,-0.04050347443529725,-0.005618931974843609,0.05919572705024026,0.009140518535801383,0.06199934297436014,0.00838466362271894,0.09642184217051844,0.016834209411108747
2019-04-05,-0.030523817931698193,7.223862733546707e-05,-0.07891569280679255,-0.005345606322857363,-0.07886291713637661,-0.0024556460761791746,-0.038541219876296176,-0.008944340655080181
2019-05-07,0.16475050883895467,0.0336180381152937,-0.2711877048210187,-0.06293794459262639,-0.27367002400128837,-0.06062140656944767,-0.02149716123150326,-0.0025314425310175304
2019-06-06,-0.03360145293652265,-0.0057798073211413545,0.05733717791324655,0.00668551531358158,0.05814210303255807,0.008400503456440361,0.1297912341141024,0.015055204844781539
2019-07-08,0.041113895884597906,0.017237877529841877,0.023897054912051654,0.016794416685033797,0.022568520373345412,0.015414822158019575,0.04993304891153185,0.007787761098203332
2019-08-06,0.1623134540956804,0.03146582681505721,0.034735921823819085,0.025335917877741476,0.0329910094222402,0.019499159547661203,0.028905007472967325,0.01405216082705783
2019-09-05,-0.017112744176366317,-0.007748851531191794,0.07464400123455477,0.012200922957850482,0.07306444517760914,0.01126620072520201,-0.1699892626846363,-0.022376434069736197
2019-10-04,-0.2367796029827489,-0.06371902862328686,-0.12843516514004893,-0.0380222329081674,-0.13071769688744667,-0.039778245098704416,-0.16580415425475495,-0.03793006725259471
2019-11-04,-0.021642803930973252,-0.002655394349271355,-0.05493755257407021,-0.005506172245005837,-0.05536601757887386,-0.006160318917004509,0.10751570479504677,0.008882018400494756
2019-12-04,-0.2021897308226621,-0.03487068643108143,-0.05246029809817448,-0.004400632291725572,-0.050318491164847316,-0.004400632291725572,0.05676722237625755,0.008584000250223912
2020-01-06,0.08864678866551116,0.012838776601300407,-0.09254518221816252,-0.016715210503867577,-0.09335152630936946,-0.01729184097840079,0.07340483130617928,0.021399767873587654
2020-02-05,0.14896029233809904,0.05612245379401813,-0.07882732301866698,-0.021775285518396276,-0.08154024086337786,-0.022786691176348017,0.07912660890645837,0.016786555328181074
2020-03-06,0.04112190330677725,0.026719583065978686,0.003788788242569755,0.005369464992517309,0.002642035835313146,0.005369464992517309,0.1487641210330286,0.045302371639280636
2020-04-06,-0.011782020689622079,-0.0008694874950441189,-0.05639090786324915,-0.028131973753297387,-0.0572509303886279,-0.028131973753297415,-0.037812682748801174,-0.029590416861022706
2020-05-06,-0.267896673907783,-0.15504626711915295,-0.3553502573006973,-0.19173961952214388,-0.3609105846658792,-0.19136159688575577,-0.32160175327792784,-0.1271781994811014
